id	session_id	user_id	when	eventtype_id	dataint	data_id
556	143	NULL	1197582353	3	0	NULL
558	143	3564	1197582486	1	0	NULL
1926	143	3564	1198188536	3	0	NULL
45019	143	3564	1198777881	3	NULL	NULL
45020	143	3564	1198777881	23	46	NULL
45021	143	3564	1198777881	23	47	NULL
45022	143	3564	1198777881	23	48	NULL
45023	143	3564	1198777881	23	49	NULL
45024	143	3564	1198777899	20	NULL	NULL
45025	143	3564	1198777904	20	NULL	20
45026	143	3564	1198777910	9	627	NULL
45027	143	3564	1198777919	7	10889	NULL
45028	143	3564	1198777944	13	0	1
45029	143	3564	1198777944	23	4	NULL
45030	143	3564	1198777944	23	25	NULL
45031	143	3564	1198777979	13	0	1
45032	143	3564	1198777979	23	4	NULL
45033	143	3564	1198777979	23	25	NULL
45034	143	3564	1198777987	13	0	1
45035	143	3564	1198777987	23	4	NULL
45036	143	3564	1198777987	23	35	NULL
45037	143	3564	1198777991	7	10889	NULL
45038	143	3564	1198777993	9	627	NULL
45039	143	3564	1198777994	20	NULL	20
45040	143	3564	1198778000	20	NULL	NULL
45041	143	3564	1198778006	20	NULL	33
45047	143	3564	1198778017	9	1272	NULL
45049	143	3564	1198778024	7	9474	NULL
45051	143	3564	1198778040	9	1272	NULL
45052	143	3564	1198778050	21	NULL	5
45053	143	3564	1198778057	21	NULL	6
45057	143	3564	1198778068	21	NULL	5
45058	143	3564	1198778077	21	NULL	8
45059	143	3564	1198778085	21	NULL	7
45060	143	3564	1198778094	21	NULL	34
45063	143	3564	1198778121	21	NULL	7
45064	143	3564	1198778125	21	NULL	32
45071	143	3564	1198778347	21	NULL	32
45073	143	3564	1198778354	21	NULL	7
45074	143	3564	1198778354	21	NULL	8
83151	143	3564	1199389939	3	NULL	NULL
83152	143	3564	1199389939	23	46	NULL
83153	143	3564	1199389939	23	47	NULL
83154	143	3564	1199389939	23	48	NULL
83155	143	3564	1199389939	23	49	NULL
83160	143	3564	1199389958	13	0	16
83161	143	3564	1199389958	23	9	NULL
83162	143	3564	1199389958	23	38	NULL
83247	143	3564	1199390464	20	NULL	NULL
83251	143	3564	1199390478	20	NULL	33
83252	143	3564	1199390488	9	2358	NULL
83257	143	3564	1199390502	20	NULL	33
83268	143	3564	1199390549	13	0	16
83269	143	3564	1199390549	23	6	NULL
83270	143	3564	1199390549	23	38	NULL
83275	143	3564	1199390589	20	NULL	NULL
83276	143	3564	1199390592	20	NULL	20
83278	143	3564	1199390599	13	0	16
83279	143	3564	1199390599	23	6	NULL
83280	143	3564	1199390599	23	38	NULL
83282	143	3564	1199390643	8	NULL	NULL
83283	143	3564	1199390651	8	NULL	23
83285	143	3564	1199390672	9	1051	NULL
83286	143	3564	1199390680	8	NULL	23
83287	143	3564	1199390717	9	1051	NULL
173111	143	3564	1200422270	3	NULL	NULL
173112	143	3564	1200422270	23	69	NULL
173113	143	3564	1200422270	23	47	NULL
173114	143	3564	1200422270	23	77	NULL
173115	143	3564	1200422270	23	74	NULL
173119	143	3564	1200422292	16	NULL	NULL
173120	143	3564	1200422299	13	0	2
173121	143	3564	1200422299	23	8	NULL
173122	143	3564	1200422299	23	28	NULL
173125	143	3564	1200422310	13	0	4
173126	143	3564	1200422310	23	17	NULL
173127	143	3564	1200422310	23	39	NULL
173133	143	3564	1200422332	7	3785	NULL
173147	143	3564	1200422366	7	7762	NULL
173153	143	3564	1200422389	7	7780	NULL
262274	143	3564	1201276836	3	NULL	NULL
262275	143	3564	1201276836	23	88	NULL
262276	143	3564	1201276836	23	78	NULL
262277	143	3564	1201276836	23	74	NULL
262278	143	3564	1201276836	23	48	NULL
426723	143	3564	1202749756	3	NULL	NULL
426724	143	3564	1202749756	23	69	NULL
426725	143	3564	1202749756	23	79	NULL
426726	143	3564	1202749756	23	74	NULL
426727	143	3564	1202749756	23	48	NULL
428165	143	3564	1202757173	3	NULL	NULL
428166	143	3564	1202757173	23	88	NULL
428167	143	3564	1202757173	23	78	NULL
428168	143	3564	1202757173	23	74	NULL
428169	143	3564	1202757173	23	77	NULL
672446	143	3564	1204667941	7	15584	NULL
759785	143	3564	1205354714	3	NULL	NULL
