id	session_id	user_id	when	eventtype_id	dataint	data_id
210152	7327	4201	1200841803	23	38	NULL
210153	7327	4201	1200841818	18	NULL	NULL
210154	7327	4201	1200841831	10	2680	NULL
210155	7327	4201	1200841838	7	4913	NULL
210156	7327	4201	1200841842	12	4913	NULL
210157	7327	4201	1200841873	11	4913	NULL
210158	7327	4201	1200841884	13	0	10
210159	7327	4201	1200841884	23	11	NULL
210160	7327	4201	1200841884	23	33	NULL
210161	7327	4201	1200841899	18	NULL	NULL
210162	7327	4201	1200841973	13	0	15
210163	7327	4201	1200841973	23	22	NULL
210164	7327	4201	1200841973	23	45	NULL
210165	7327	4201	1200841995	13	12	15
210166	7327	4201	1200842011	13	24	15
210167	7327	4201	1200842094	7	2919	NULL
210168	7327	4201	1200842094	7	2919	NULL
210169	7327	4201	1200842151	7	9180	NULL
210170	7327	4201	1200842152	7	9180	NULL
210184	7327	4201	1200842269	7	4863	NULL
210185	7327	4201	1200842269	7	4863	NULL
210186	7327	4201	1200842292	26	4863	NULL
210187	7327	4201	1200842303	7	4863	NULL
210188	7327	4201	1200842319	7	5254	NULL
210189	7327	4201	1200842319	7	5254	NULL
210190	7327	4201	1200842337	7	6179	NULL
210191	7327	4201	1200842337	7	6179	NULL
210205	7327	4201	1200842560	7	17613	NULL
210206	7327	4201	1200842560	7	17613	NULL
210216	7327	4201	1200842618	13	0	15
210217	7327	4201	1200842618	23	22	NULL
210218	7327	4201	1200842618	23	45	NULL
210224	7327	4201	1200842640	13	0	4
210225	7327	4201	1200842640	23	17	NULL
210226	7327	4201	1200842640	23	40	NULL
210235	7327	4201	1200842659	33	0	217
210236	7327	4201	1200842659	23	65	NULL
210237	7327	4201	1200842659	23	64	NULL
210249	7327	4201	1200842680	33	0	216
210250	7327	4201	1200842680	23	58	NULL
210251	7327	4201	1200842680	23	59	NULL
210256	7327	4201	1200842704	8	NULL	NULL
210258	7327	4201	1200842714	8	NULL	28
210260	7327	4201	1200842736	8	NULL	NULL
210261	7327	4201	1200842739	8	NULL	13
210262	7327	4201	1200842774	13	0	14
210263	7327	4201	1200842774	23	52	NULL
210264	7327	4201	1200842774	23	51	NULL
210265	7327	4201	1200842808	8	NULL	13
211714	7327	4201	1200852484	13	0	4
211715	7327	4201	1200852484	23	17	NULL
211717	7327	4201	1200852484	23	40	NULL
211721	7327	4201	1200852500	18	NULL	NULL
211735	7327	4201	1200852537	33	0	216
211736	7327	4201	1200852537	23	58	NULL
211737	7327	4201	1200852537	23	59	NULL
247802	8244	674	1201134790	1	NULL	NULL
247803	8244	674	1201134791	23	86	NULL
247804	8244	674	1201134796	4	86	NULL
247805	8244	674	1201134796	23	83	NULL
248782	8244	674	1201140183	23	83	NULL
248785	8244	674	1201140191	22	NULL	290
248786	8244	674	1201140191	22	NULL	290
248791	8244	674	1201140211	23	83	NULL
248792	8244	674	1201140218	22	NULL	290
248798	8244	674	1201140288	22	NULL	290
248814	8244	674	1201140473	22	NULL	290
248816	8244	674	1201140626	22	NULL	290
249615	8244	674	1201144504	22	NULL	290
249629	8244	674	1201144545	9	2627	NULL
302929	8244	674	1201662953	23	87	NULL
302937	8244	674	1201662972	23	87	NULL
302944	8244	674	1201662993	23	87	NULL
302949	8244	674	1201663010	23	87	NULL
302952	8244	674	1201663020	23	87	NULL
302957	8244	674	1201663034	23	87	NULL
302973	8244	674	1201663087	23	87	NULL
468256	8244	674	1202962582	3	NULL	NULL
468257	8244	674	1202962582	23	88	NULL
468258	8244	674	1202962582	23	80	NULL
468259	8244	674	1202962582	23	74	NULL
468260	8244	674	1202962582	23	47	NULL
468264	8244	674	1202962597	4	47	NULL
468265	8244	674	1202962598	10	2608	NULL
468267	8244	674	1202962612	3	NULL	NULL
468268	8244	674	1202962612	23	88	NULL
468269	8244	674	1202962612	23	81	NULL
468270	8244	674	1202962612	23	74	NULL
468271	8244	674	1202962612	23	77	NULL
468275	8244	674	1202962616	4	88	NULL
468276	8244	674	1202962617	23	87	NULL
468278	8244	674	1202962638	23	87	NULL
468280	8244	674	1202962665	23	87	NULL
468281	8244	674	1202962672	23	87	NULL
468283	8244	674	1202962684	23	87	NULL
468285	8244	674	1202962691	23	87	NULL
468287	8244	674	1202962698	23	87	NULL
468291	8244	674	1202962711	23	87	NULL
468294	8244	674	1202962731	23	87	NULL
468295	8244	674	1202962739	23	87	NULL
468301	8244	674	1202962753	23	87	NULL
468304	8244	674	1202962761	23	87	NULL
468306	8244	674	1202962769	23	87	NULL
468310	8244	674	1202962777	23	87	NULL
468311	8244	674	1202962785	23	87	NULL
468314	8244	674	1202962805	13	0	10
468315	8244	674	1202962805	23	11	NULL
468316	8244	674	1202962805	23	33	NULL
768848	8244	674	1205442786	10	3095	NULL
768850	8244	674	1205442802	10	3095	NULL
768854	8244	674	1205442810	10	3095	NULL
768855	8244	674	1205442818	7	5760	NULL
768856	8244	674	1205442833	10	3095	NULL
768857	8244	674	1205442843	10	3095	NULL
768858	8244	674	1205442853	10	3095	NULL
768859	8244	674	1205442861	10	3095	NULL
768860	8244	674	1205442871	10	3095	NULL
768861	8244	674	1205442878	10	3095	NULL
768862	8244	674	1205442885	7	17057	NULL
768863	8244	674	1205442891	26	17057	NULL
